,class,device,time_us,time,ept,lat,lon,alt,speed,orientation,track,acceleration,mode,locate_mode,headAcc_deg,sAcc_m_s,vAcc_m,hAcc_m,numSv,pDOP
0,TPV,v2xlocate,1665477324365204,2022-10-11T08:35:24.365Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
1,TPV,v2xlocate,1665477324465115,2022-10-11T08:35:24.465Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
2,TPV,v2xlocate,1665477324565172,2022-10-11T08:35:24.565Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
3,TPV,v2xlocate,1665477324665165,2022-10-11T08:35:24.665Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
4,TPV,v2xlocate,1665477324765173,2022-10-11T08:35:24.765Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
5,TPV,v2xlocate,1665477324865229,2022-10-11T08:35:24.865Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
6,TPV,v2xlocate,1665477324965237,2022-10-11T08:35:24.965Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
7,TPV,v2xlocate,1665477325065174,2022-10-11T08:35:25.065Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
8,TPV,v2xlocate,1665477325165119,2022-10-11T08:35:25.165Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
9,TPV,v2xlocate,1665477325265173,2022-10-11T08:35:25.265Z,,46.066847196,11.153052604,448.975,0.006,-1000000,144.959,-1000000,2,11,-1,-1,-1,50.0,0,-1
10,TPV,v2xlocate,1665477325365186,2022-10-11T08:35:25.365Z,,46.066847196,11.153052604,448.975,0.006,-1000000,144.985,-1000000,2,11,-1,-1,-1,50.0,0,-1
11,TPV,v2xlocate,1665477325465173,2022-10-11T08:35:25.465Z,,46.066847196,11.153052604,448.976,0.006,-1000000,145.012,-1000000,2,11,-1,-1,-1,50.0,0,-1
12,TPV,v2xlocate,1665477325565167,2022-10-11T08:35:25.565Z,,46.066847197,11.153052603,448.961,0.004,-1000000,144.892,-1000000,2,11,-1,-1,-1,50.0,0,-1
13,TPV,v2xlocate,1665477325665171,2022-10-11T08:35:25.665Z,,46.066847197,11.153052603,448.961,0.004,-1000000,144.918,-1000000,2,11,-1,-1,-1,50.0,0,-1
14,TPV,v2xlocate,1665477325765171,2022-10-11T08:35:25.765Z,,46.066847197,11.153052703,448.961,0.004,-1000000,144.942,-1000000,2,11,-1,-1,-1,50.0,0,-1
15,TPV,v2xlocate,1665477325865186,2022-10-11T08:35:25.865Z,,46.066847197,11.153052703,448.961,0.004,-1000000,144.968,-1000000,2,11,-1,-1,-1,50.0,0,-1
16,TPV,v2xlocate,1665477325965220,2022-10-11T08:35:25.965Z,,46.066847197,11.153052703,448.961,0.004,-1000000,144.994,-1000000,2,11,-1,-1,-1,50.0,0,-1
17,TPV,v2xlocate,1665477326065206,2022-10-11T08:35:26.065Z,,46.066847096,11.153052704,448.947,0.005,-1000000,144.872,-1000000,2,11,-1,-1,-1,50.0,0,-1
18,TPV,v2xlocate,1665477326165189,2022-10-11T08:35:26.165Z,,46.066847096,11.153052704,448.947,0.005,-1000000,144.896,-1000000,2,11,-1,-1,-1,50.0,0,-1
19,TPV,v2xlocate,1665477326265231,2022-10-11T08:35:26.265Z,,46.066847096,11.153052704,448.947,0.005,-1000000,144.921,-1000000,2,11,-1,-1,-1,50.0,0,-1
20,TPV,v2xlocate,1665477326365225,2022-10-11T08:35:26.365Z,,46.066847096,11.153052704,448.947,0.005,-1000000,144.946,-1000000,2,11,-1,-1,-1,50.0,0,-1
21,TPV,v2xlocate,1665477326465223,2022-10-11T08:35:26.465Z,,46.066847096,11.153052704,448.947,0.005,-1000000,144.971,-1000000,2,11,-1,-1,-1,50.0,0,-1
22,TPV,v2xlocate,1665477326565250,2022-10-11T08:35:26.565Z,,46.066847097,11.153052803,448.936,0.004,-1000000,144.853,-1000000,2,11,-1,-1,-1,50.0,0,-1
23,TPV,v2xlocate,1665477326665172,2022-10-11T08:35:26.665Z,,46.066847097,11.153052803,448.936,0.004,-1000000,144.878,-1000000,2,11,-1,-1,-1,50.0,0,-1
