,class,device,time_us,time,ept,lat,lon,alt,speed,orientation,track,acceleration,mode,locate_mode,headAcc_deg,sAcc_m_s,vAcc_m,hAcc_m,numSv,pDOP
0,TPV,v2xlocate,1665481827446135,2022-10-11T09:50:27.446Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
1,TPV,v2xlocate,1665481827546048,2022-10-11T09:50:27.546Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
2,TPV,v2xlocate,1665481827646125,2022-10-11T09:50:27.646Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
3,TPV,v2xlocate,1665481827746112,2022-10-11T09:50:27.746Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
4,TPV,v2xlocate,1665481827846176,2022-10-11T09:50:27.846Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
5,TPV,v2xlocate,1665481827946131,2022-10-11T09:50:27.946Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
6,TPV,v2xlocate,1665481828046135,2022-10-11T09:50:28.046Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
7,TPV,v2xlocate,1665481828146148,2022-10-11T09:50:28.146Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
8,TPV,v2xlocate,1665481828246054,2022-10-11T09:50:28.246Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
9,TPV,v2xlocate,1665481828346166,2022-10-11T09:50:28.346Z,,46.066860497,11.153014507,446.53,0.006,-1000000,117.847,-1000000,2,11,-1,-1,-1,50.0,0,-1
10,TPV,v2xlocate,1665481828446128,2022-10-11T09:50:28.446Z,,46.066860497,11.153014507,446.53,0.006,-1000000,117.873,-1000000,2,11,-1,-1,-1,50.0,0,-1
11,TPV,v2xlocate,1665481828546137,2022-10-11T09:50:28.546Z,,46.066860697,11.153014607,446.525,0.006,-1000000,117.764,-1000000,2,11,-1,-1,-1,50.0,0,-1
12,TPV,v2xlocate,1665481828646148,2022-10-11T09:50:28.646Z,,46.066860697,11.153014607,446.525,0.006,-1000000,117.791,-1000000,2,11,-1,-1,-1,50.0,0,-1
13,TPV,v2xlocate,1665481828746139,2022-10-11T09:50:28.746Z,,46.066860697,11.153014607,446.525,0.006,-1000000,117.82,-1000000,2,11,-1,-1,-1,50.0,0,-1
14,TPV,v2xlocate,1665481828846165,2022-10-11T09:50:28.846Z,,46.066860697,11.153014607,446.525,0.006,-1000000,117.848,-1000000,2,11,-1,-1,-1,50.0,0,-1
15,TPV,v2xlocate,1665481828946157,2022-10-11T09:50:28.946Z,,46.066860697,11.153014607,446.525,0.006,-1000000,117.876,-1000000,2,11,-1,-1,-1,50.0,0,-1
16,TPV,v2xlocate,1665481829046129,2022-10-11T09:50:29.046Z,,46.066860898,11.153014606,446.518,0.005,-1000000,117.771,-1000000,2,11,-1,-1,-1,50.0,0,-1
17,TPV,v2xlocate,1665481829146183,2022-10-11T09:50:29.146Z,,46.066860898,11.153014606,446.518,0.005,-1000000,117.799,-1000000,2,11,-1,-1,-1,50.0,0,-1
18,TPV,v2xlocate,1665481829246166,2022-10-11T09:50:29.246Z,,46.066860898,11.153014606,446.518,0.005,-1000000,117.827,-1000000,2,11,-1,-1,-1,50.0,0,-1
19,TPV,v2xlocate,1665481829346146,2022-10-11T09:50:29.346Z,,46.066860898,11.153014706,446.518,0.005,-1000000,117.855,-1000000,2,11,-1,-1,-1,50.0,0,-1
20,TPV,v2xlocate,1665481829446149,2022-10-11T09:50:29.446Z,,46.066860898,11.153014706,446.518,0.005,-1000000,117.884,-1000000,2,11,-1,-1,-1,50.0,0,-1
21,TPV,v2xlocate,1665481829546148,2022-10-11T09:50:29.546Z,,46.066861098,11.153014605,446.514,0.004,-1000000,117.776,-1000000,2,11,-1,-1,-1,50.0,0,-1
22,TPV,v2xlocate,1665481829646182,2022-10-11T09:50:29.646Z,,46.066861098,11.153014705,446.514,0.004,-1000000,117.803,-1000000,2,11,-1,-1,-1,50.0,0,-1
23,TPV,v2xlocate,1665481829746192,2022-10-11T09:50:29.746Z,,46.066861098,11.153014705,446.514,0.004,-1000000,117.831,-1000000,2,11,-1,-1,-1,50.0,0,-1
24,TPV,v2xlocate,1665481829846179,2022-10-11T09:50:29.846Z,,46.066861098,11.153014705,446.514,0.004,-1000000,117.857,-1000000,2,11,-1,-1,-1,50.0,0,-1
