,class,device,time_us,time,ept,lat,lon,alt,speed,orientation,track,acceleration,mode,locate_mode,headAcc_deg,sAcc_m_s,vAcc_m,hAcc_m,numSv,pDOP
0,TPV,v2xlocate,1665480803010664,2022-10-11T09:33:23.010Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
1,TPV,v2xlocate,1665480803110565,2022-10-11T09:33:23.110Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
2,TPV,v2xlocate,1665480803210647,2022-10-11T09:33:23.210Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
3,TPV,v2xlocate,1665480803310648,2022-10-11T09:33:23.310Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
4,TPV,v2xlocate,1665480803410627,2022-10-11T09:33:23.410Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
5,TPV,v2xlocate,1665480803510606,2022-10-11T09:33:23.510Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
6,TPV,v2xlocate,1665480803610669,2022-10-11T09:33:23.610Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
7,TPV,v2xlocate,1665480803710679,2022-10-11T09:33:23.710Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
8,TPV,v2xlocate,1665480803810571,2022-10-11T09:33:23.810Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
9,TPV,v2xlocate,1665480803910644,2022-10-11T09:33:23.910Z,,46.0668726,11.153022905,450.649,0.004,-1000000,92.987,-1000000,2,11,-1,-1,-1,50.0,0,-1
10,TPV,v2xlocate,1665480804010668,2022-10-11T09:33:24.010Z,,46.0668726,11.153022905,450.65,0.004,-1000000,93.014,-1000000,2,11,-1,-1,-1,50.0,0,-1
11,TPV,v2xlocate,1665480804110644,2022-10-11T09:33:24.110Z,,46.0668727,11.153022806,450.655,0.005,-1000000,92.899,-1000000,2,11,-1,-1,-1,50.0,0,-1
12,TPV,v2xlocate,1665480804210645,2022-10-11T09:33:24.210Z,,46.0668727,11.153022806,450.655,0.005,-1000000,92.929,-1000000,2,11,-1,-1,-1,50.0,0,-1
13,TPV,v2xlocate,1665480804310655,2022-10-11T09:33:24.310Z,,46.0668727,11.153022806,450.655,0.005,-1000000,92.956,-1000000,2,11,-1,-1,-1,50.0,0,-1
14,TPV,v2xlocate,1665480804410555,2022-10-11T09:33:24.410Z,,46.0668727,11.153022806,450.656,0.005,-1000000,92.985,-1000000,2,11,-1,-1,-1,50.0,0,-1
15,TPV,v2xlocate,1665480804510630,2022-10-11T09:33:24.510Z,,46.0668727,11.153022706,450.662,0.005,-1000000,92.899,-1000000,2,11,-1,-1,-1,50.0,0,-1
16,TPV,v2xlocate,1665480804610663,2022-10-11T09:33:24.610Z,,46.0668727,11.153022706,450.662,0.005,-1000000,92.927,-1000000,2,11,-1,-1,-1,50.0,0,-1
17,TPV,v2xlocate,1665480804710647,2022-10-11T09:33:24.710Z,,46.0668727,11.153022713,450.662,0.005,-1000000,92.927,-1000000,2,11,-1,-1,-1,50.0,0,-1
18,TPV,v2xlocate,1665480804810680,2022-10-11T09:33:24.810Z,,46.0668727,11.153022706,450.662,0.005,-1000000,92.957,-1000000,2,11,-1,-1,-1,50.0,0,-1
19,TPV,v2xlocate,1665480804910658,2022-10-11T09:33:24.910Z,,46.0668727,11.153022706,450.662,0.005,-1000000,92.985,-1000000,2,11,-1,-1,-1,50.0,0,-1
20,TPV,v2xlocate,1665480805010641,2022-10-11T09:33:25.010Z,,46.0668727,11.153022806,450.662,0.005,-1000000,93.014,-1000000,2,11,-1,-1,-1,50.0,0,-1
21,TPV,v2xlocate,1665480805110656,2022-10-11T09:33:25.110Z,,46.0668727,11.153022706,450.668,0.005,-1000000,92.902,-1000000,2,11,-1,-1,-1,50.0,0,-1
22,TPV,v2xlocate,1665480805210631,2022-10-11T09:33:25.210Z,,46.0668727,11.153022706,450.668,0.005,-1000000,92.935,-1000000,2,11,-1,-1,-1,50.0,0,-1
23,TPV,v2xlocate,1665480805310628,2022-10-11T09:33:25.310Z,,46.0668727,11.153022706,450.668,0.005,-1000000,92.962,-1000000,2,11,-1,-1,-1,50.0,0,-1
24,TPV,v2xlocate,1665480805410655,2022-10-11T09:33:25.410Z,,46.0668727,11.153022706,450.668,0.005,-1000000,92.988,-1000000,2,11,-1,-1,-1,50.0,0,-1
25,TPV,v2xlocate,1665480805510619,2022-10-11T09:33:25.510Z,,46.0668727,11.153022706,450.668,0.005,-1000000,93.015,-1000000,2,11,-1,-1,-1,50.0,0,-1
26,TPV,v2xlocate,1665480805610654,2022-10-11T09:33:25.610Z,,46.0668728,11.153022606,450.674,0.005,-1000000,92.901,-1000000,2,11,-1,-1,-1,50.0,0,-1
27,TPV,v2xlocate,1665480805710646,2022-10-11T09:33:25.710Z,,46.0668728,11.153022606,450.674,0.005,-1000000,92.929,-1000000,2,11,-1,-1,-1,50.0,0,-1
