,class,device,time_us,time,ept,lat,lon,alt,speed,orientation,track,acceleration,mode,locate_mode,headAcc_deg,sAcc_m_s,vAcc_m,hAcc_m,numSv,pDOP
0,TPV,v2xlocate,1665479830077284,2022-10-11T09:17:10.077Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
1,TPV,v2xlocate,1665479830177744,2022-10-11T09:17:10.177Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
2,TPV,v2xlocate,1665479830277272,2022-10-11T09:17:10.277Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
3,TPV,v2xlocate,1665479830377281,2022-10-11T09:17:10.377Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
4,TPV,v2xlocate,1665479830477259,2022-10-11T09:17:10.477Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
5,TPV,v2xlocate,1665479830577263,2022-10-11T09:17:10.577Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
6,TPV,v2xlocate,1665479830677273,2022-10-11T09:17:10.677Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
7,TPV,v2xlocate,1665479830777281,2022-10-11T09:17:10.777Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
8,TPV,v2xlocate,1665479830877202,2022-10-11T09:17:10.877Z,,0.0,0.0,1.5,0.0,-1000000,0.0,-1000000,2,11,-1,-1,-1,50.0,0,-1
9,TPV,v2xlocate,1665479830977208,2022-10-11T09:17:10.977Z,,46.0668632,11.153003304,445.583,0.003,-1000000,96.438,-1000000,2,11,-1,-1,-1,50.0,0,-1
10,TPV,v2xlocate,1665479831077273,2022-10-11T09:17:11.077Z,,46.0668633,11.153003304,445.555,0.003,-1000000,96.358,-1000000,2,11,-1,-1,-1,50.0,0,-1
11,TPV,v2xlocate,1665479831177256,2022-10-11T09:17:11.177Z,,46.0668633,11.153003304,445.555,0.003,-1000000,96.385,-1000000,2,11,-1,-1,-1,50.0,0,-1
12,TPV,v2xlocate,1665479831277255,2022-10-11T09:17:11.277Z,,46.0668633,11.153003304,445.555,0.003,-1000000,96.414,-1000000,2,11,-1,-1,-1,50.0,0,-1
13,TPV,v2xlocate,1665479831377242,2022-10-11T09:17:11.377Z,,46.0668633,11.153003304,445.555,0.003,-1000000,96.442,-1000000,2,11,-1,-1,-1,50.0,0,-1
14,TPV,v2xlocate,1665479831477248,2022-10-11T09:17:11.477Z,,46.0668633,11.153003304,445.555,0.003,-1000000,96.47,-1000000,2,11,-1,-1,-1,50.0,0,-1
15,TPV,v2xlocate,1665479831577297,2022-10-11T09:17:11.577Z,,46.0668633,11.153003204000001,445.529,0.003,-1000000,96.36,-1000000,2,11,-1,-1,-1,50.0,0,-1
16,TPV,v2xlocate,1665479831677173,2022-10-11T09:17:11.677Z,,46.0668633,11.153003204000001,445.529,0.003,-1000000,96.388,-1000000,2,11,-1,-1,-1,50.0,0,-1
17,TPV,v2xlocate,1665479831777246,2022-10-11T09:17:11.777Z,,46.0668633,11.153003204000001,445.529,0.003,-1000000,96.417,-1000000,2,11,-1,-1,-1,50.0,0,-1
18,TPV,v2xlocate,1665479831877250,2022-10-11T09:17:11.877Z,,46.0668633,11.153003204000001,445.529,0.003,-1000000,96.445,-1000000,2,11,-1,-1,-1,50.0,0,-1
19,TPV,v2xlocate,1665479831977246,2022-10-11T09:17:11.977Z,,46.0668633,11.153003204000001,445.529,0.003,-1000000,96.471,-1000000,2,11,-1,-1,-1,50.0,0,-1
